Nombre Establecimiento,Dirección establecimiento,Teléfono 1,Teléfono 2,Actividad,Tipo de negocio,servicio Domicilio,Correo Electrónico,Número de empleados,¿Está registrado ante DIAN?,¿Está registrado ante Cámara de Comercio?,Su establecimiento se desarrolla en un domicilio:,El Canon de Arrendamiento es (COP):,Número de años en el Mercado,¿Tienen registro contable?,"Dando cumplimiento a la ley 1581/12, autorizo de manera voluntaria al Municipio de Cota el uso de mis datos personales, con estricta sujeción a estas normas y exclusivamente para temas relacionados con programas Institucionales.",¿Está afiliado a FENALCO?,De acuerdo a su actividad. ¿Usted se identifica en qué grupo?
Madera AMOR y Arte,Carrera 3ra#11—59,3015186426,3024327879,Otro,Venta de artesanía en madera,NO,aliceinac@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Magic Day,Cra 2 n 11 43,3102454946,3122078128,Alimentos,No Responde,SI,marisolsamaca@hotmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,1,No,Acepto,No,Emprendedor
MAGIC KIDS PELQUUERIA INFANTIL Y JUVENIL,Mall meridiano cota local 22,3227043100,0,Otro,"Prestamos servicios de belleza para niños, niñas y adolescentes (corte,peinados,manicura,pedicura)",NO,Magickidsbogota@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Makondo AREPAS RELLENAS,CRA 5 no.7 81,3013142877,3042013550,Venta de alimentos preparados,No Responde,SI,consucardenas1@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,5,Sí,Acepto,No,Emprendedor
"Makorecarpi carpinteria,",Calle2 kra2jentreLa dyy la cabaña de color rojo,3102027728,3112401204,Otro,"Majorette carpintería,Ebanesteria y otros",SI,"Makorecapintria@gmil,com",No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
MakroIntegral Papelera,Cra 6 #13-11,3195655986,3112681950,Comercio al por menor y mayor de papeleria y productos aseo,No Responde,SI,makrointegralpapelera@gmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,3,Sí,Acepto,No,Comerciante
Manitos Kreativas,Vereda la Moya,3044744678,0,Elaboración de artículos en Patchwork y venta de accesorios,No Responde,SI,Infocreatividadentusmanos@gmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,2,No,Acepto,No,Emprendedor
MANJARES Y CAFE,Cr 5 # 11 - 76,3152900506,3154613525,HELADERÍA,No Responde,SI,mojicasan74@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,1,No,Acepto,No,Emprendedor
Mantenimientos en jenerale,Cota,3195573863,3116684630,Mantenimientos,No Responde,SI,uguapacho@gmail.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,10,No,Acepto,No,Emprendedor
Mantequilla Boyaca,Cll 11 2 15,3184582287,8965411,Otro,Procesadora de Lacteos Mantequilla Boyaca,SI,ceballesterosju@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Market el condys,Km 1 via cota chia,3103315949,3203666815,Ventas al por nenor,No Responde,SI,williamfercho80@hotmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,8,No,Acepto,No,Comerciante
Married restaurante y eventos,Calle9#4-60,3138756914,3144588485,Restaurante,No Responde,NO,Neirawilmer@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Más travel colombia,Carrera 5# 7-80,3003456096,3017504257,Turismo,No Responde,NO,mastravelcolombia@gmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,1,Sí,Acepto,No,No Responde
Mascotas saludables,Carrera 3a #13-82,3138452563,3134945495,Médico veterinario zootecnista,No Responde,SI,Elizabeth_perez27@hotmail.com,Ninguno,Sí,Sí,Arrendado,Menor a 1.000.000,5,Sí,Acepto,No responde,Emprendedor
Maskina.Net,Calle 13 # 3 A 35,3209363764,3229118028,Otro,Elaboración de refrigerios y postres para eventos,SI,Yealboqui@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Mathy’s tienda de dulces,Calle 13a #4-37,3134772924,3125619868,Ventas,No Responde,SI,rojasandrea853@gmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,0,Sí,Acepto,No,Emprendedor
Mauroson Parrilla Burguer,Cra5#14-52,8641975,3013030129,Venta de alimentos preparados,No Responde,SI,Imbu1201@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,14,No,Acepto,No,Comerciante
Mayorista Central Abastos,Parcelas,3219118733,3112696465,Otro,Mayorista Central de Abastos de Banano,NO,aselogistic@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Mayus Sport,Calle 17 # 04 47 los arrayanes,3124520195,3014804056,Otro,Hacer uniformes deportivos,SI,junior040307@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Médico veterinario,Servicio a domicilio,3144123278,3103103942,Otro,Servicios veterinarios,SI,Dannyel1@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Médicos especialistas de cota,Carrera 6#14-76,3162363953,3005663378,Consulta salud,No Responde,NO,Asmeccota@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,Sí,Acepto,No,Micro empresario
Megahogar,Calle 13 # 3 -38,3192556699,3166000899,Comercio al por mayor de productos alimenticios.,No Responde,SI,marlonhammed@gmail.com,1 a 5,Sí,No,Propio,No responde,1,Sí,Acepto,No,Emprendedor
Megaservice GVM Ltda.,Calle 13a No 4-25,8965953,3133627433,Otro,Seguridad Industrial,SI,megaservicegvm@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Mensajeros cota,Carrera 9#14-69,3132061245,0318640943,Otro,Mensajeros,SI,garcia-821@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
mequedoenelcampo,Vereda la Moya entrada los naranjos,3213795052,3182616350,Otro,Siembra y cosecha de Verduras y hortalizas,SI,cotacampo@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Merca Home,CRA 5 #11-10,3204640290,3168571522,Abastecimiento de frutas y verduras a domicilio y venta al público,No Responde,SI,mercahome2019@gmail.com,1 a 5,No,No,Propio,No responde,1,No,Acepto,No,Emprendedor
Mermau,Carrera 5#7-79,3102816740,3115551338,Venta de cerveza y licores,No Responde,NO,Ivantauta@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,2,No,Acepto,No,Comerciante
Meson y campo,Km2.5 siberia cota,3142364568,3143725443,Restaurante,No Responde,NO,Francy8choa@gmail.com,6 a 10,Sí,Sí,Arrendado,Mayor a 5.000.000,15,No,Acepto,No,Comerciante
METRO CUBICO REAL S.A.S,CRA 6 N° 10 - 12,3108581562,3213438871,"TRANSPORTE, VENTA AL POR MAYOR Y DETAL DE MATERIAL PARA LA CONSTRUCCION",No Responde,SI,metro3r@gmail.com,6 a 10,Sí,Sí,Arrendado,Mayor a 5.000.000,10,Sí,Acepto,No,Comerciante
Mi Principe Azul,Cra5#13-11,3103233946,3217251501,Verder ropa,No Responde,NO,deisyceleita0526@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,12,No,Acepto,No,Comerciante
Miel Mostaza Boutique,Cra 4 No. 11-72,3016500214,3209638940,Venta de ropa,No Responde,NO,majuligacharna@outlook.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,0,No,Acepto,No,Emprendedor
Miguel Ángel Spa,Centro comercial San Miguel junto a la Alcaldía Municipal,3136160725,3017440615,Otro,Miguel Ángel Spa,SI,andres070707@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Mil detalles,Carrera 5 #13-12,3045742761,3183577166,Papelería y mecselania,No Responde,SI,Jp.vz9611@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,10,No,Acepto,No,Comerciante
Milciades Bermúdez,Calke 4 # 5 45,3112227447,3168348038,Otro,Taller de Costura Vs Sasteria,SI,milchobermurillo@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Minimarket cota express,Calle 11 # 5-33 local 2,3154174227,3216826767,Comercialización de alimentos,No Responde,SI,yesica.ramy0102@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,2,Sí,Acepto,No,Comerciante
Minimercado,Carrera 2 no 13-05,3213814427,3123534320,Venta de víveres gaseosa verdura,No Responde,NO,Canceladamarlensifia@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,No,Acepto,No,Comerciante
Minimercado la canasta,Calle 11#8-05,3192897173,0,Tienda,No Responde,NO,nubiastvillamil@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Minimercado Surtimerk Cota,Calle 13 #2b 80,3002118011,0,Tienda,No Responde,NO,Janetgaray1958@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Miscelánea Papelería punto verde,Vereda Cetime vuelta de la trampa,3103026144,0,Otro,Papelería,NO,papeleriapuntoverde@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
MlJS cafe internet,Carrera 2 # 8 03,3144813044,0,Otro,Cafe internet,NO,glm_26@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Modas D&J,Carrera 4 # 11-13,3102767000,3144451007,Otro,Almacén de ropa,NO,Jose.202025@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Molo S.A.S,Calle 14 #6-43 of 101,3163093932,0,Otro,Proveedores de insumos,SI,loreavila4@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
MRC Diseño +Publicidad,Cra 5# 10- 72 cota,3006551690,8965723,Otro,diseño y publicidad comercial,NO,Romero.diseno@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Mujer emprendedora Cota Corpmec,"Calle 11 # 6b - 03, casa 14 conjunto camino del majuy",3005631413,3208553244,Otro,Mujer emprendedora Cota Corpmec,SI,meccorporacion@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Multidotaciones VyG sas,Calle11# 4 18 local 1,3114553387,3114553387,Otro,Venta de implementos de dotación para el trabajo,SI,multidotaciones2019@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Nahoki,"Kilómetros 3 vía cota, Chía",3118597652,8642918,Restaurante,No Responde,SI,Herediakarina73@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Nails Style VIP Kelly Choez,Solo Domicilios,304522664,0,Belleza,No Responde,SI,krst2004@gmail.com,1 solo,Sí,No,Propio,No responde,3,No,Acepto,No,Emprendedor
New Collection's,Calle 13A No.3-98 local 1.,3115739311,0,"Comercio ropa, calzado",No Responde,NO,elsagarcia60@hotmail.com,1 a 5,No,No,Arrendado,Entre 1.000.000 y 3.000.000,1,No,Acepto,No,Comerciante
Nikken,Tienda virtual,3175865697,8767054,Tienda,No Responde,SI,marthap73@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
noa restaurante,Diagonal 11 # 5-19,3102831957,3124020214,"Venta de Desayunos , Almuerzos y Pizzas",No Responde,SI,magallygarciam@gmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,No,Acepto,No,Emprendedor
Novelty Publicidad EU,Terminal terrestre de carga Local A25,3102589504,0,Otro,Publicidad,SI,Rmgerencia@noveltypublicidad.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Nubia Alexandra Prado,Cra 5#4 09 piso2,3133094989,3204304367,Confeccion prendas de vestiir,No Responde,SI,Primoda2012@hotmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,7,No,Acepto,No,Micro empresario
O3 SMART CITIES S.A.S,Predio San Rafael Vereda Vuelta Grande Zona Franca Metropolitana Bodega 55-56 Cota,3002695816,3125236777,VENTA DE SCOOTER ELECTRICOS Y SOLUCIONES FOTOVOLTAICAS,No Responde,SI,gerencia@O3smartcities.com.co; sales@o3smartcities.com.co,6 a 10,Sí,Sí,Propio,No responde,6,Sí,Acepto,Sí,Micro empresario
OCATÉ,Carrera 5 No 11-07,3228121742,0,Otro,Accesorios y servicio técnico en telefonía movil.,SI,ocateinfo@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Odentix,Transv 4 n 12-09 local 102b centro comercial San Miguel,3002095650,3002095650,Otro,Odontologia,NO,luzelenaquesada@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Optica Pilar Reina,Cll 13 # 3A-35,3163380909,3108667644,Venta y comercialización de productos ópticos y dispositivos médicos,No Responde,NO,saludvisualydisenio@hotmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,3,Sí,Acepto,No,Comerciante
Optica Prisma Vision M y A,Calle 11 no 5-65/75,3112255203,0,Venta de indumos para la salud Visual,No Responde,NO,prismavisioncota@gmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,15,Sí,Acepto,No,Comerciante
Organicamente,Calle 8 # 7 99 Int 2 casa 2,3175865697,8767054,Tienda,No Responde,SI,marthap73@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Organización de eventos Martha Arévalo,Parcelas de cota,3102558373,0,Otro,Eventos y Alquieres para toda ocasión,SI,eventosmarthaarevalo@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Oriflame cota,carrera 6b no 14 - 42,3212032693,0,COMERZIALIACION Y AFILIACIONES,No Responde,SI,cotaoriflame@gmail.com,1 a 5,No,No,Propio,No responde,2,No,Acepto,No,Emprendedor
"Orión dance, cheer & gymnastics",Km. 6.2 variante cota Chía,3227217194,0,Otro,"Gimnasio especializado para gimnasia, cheers y danza",NO,Oriongym1@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Ortopedicos Cota,Calle 14 # 5 - 45 local 1,3185743355,3112761824,Otro,Productos de la salud,SI,lifemedical18@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Packing impresores Creativos,Av. libertador,3143337375,3223924514,Otro,Publicidad y material POP,SI,packing.impresores.creativos@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Pan de la Casa,Cr 7 #11-25,3213270607,3123522470,Panadería,No Responde,SI,ozkr4596@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Panadería la antigua cota,Cra5 #12-93,3214103856,3102361208,Panadería,No Responde,SI,Andremajo0202@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Panaderia la espiga dorada,Carrera 5 n 15 62,3212436583,3226493536,Panadería,No Responde,SI,marybateri0108@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Panadería pastelería santipan,Calle 14 N.8_71 avenida libertador cota Cundinamarca,3046670014,0,Panadería,No Responde,SI,lacomadremary@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
PANADERÍA RICO PAN,calle 11 # 2 -15,3134574691,3115894769,Panificadora,No Responde,SI,Jonathan072018lopez@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,15,Sí,Acepto,No,Comerciante
Panadería y cafetería altos del majuy,Vereda cetime Los sauces,3209315738,3209315738,Panadería,No Responde,NO,Leidyherrera 3101@gmail .com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Panaderia y pasteleria GALUSS,Cra5#13a13 centro,3114483119,3204062939,Panaderia y pasteleria,No Responde,SI,Angielarc@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,6,Sí,Acepto,No,Comerciante
Panadería y pastelería San Nicolás,Calle 14 # 6-22,3013862391,8759357,Panadería y pastelería,No Responde,SI,hector1987perez@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,4,Sí,Acepto,No,Emprendedor
Panaderia y Repostería Cerés,Carrera 5 #11-90,3006124739,8777006,Panadería,No Responde,SI,Ceressaboresartesanales@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
PANNY  PAN COTA,Kra 5a. #  13 A 92,3133163942,0,Actividad comercial productos de venta  panadería pastelería y cafetería,No Responde,NO,Jhoanchis@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,16,Sí,Acepto,No responde,Comerciante
Panorama estudio,Calle 14 # 4-21,3167457699,3153689473,Otro,Estudio de fotografía,SI,contacto@panoramaestudio.com.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Pañalera Emanuel baby,Calle 13 3 23,3114764848,3227104603,Otro,"Pañalera: pañales,pañitos, productos de aseo, ropita,pijamas,zapatos,accesorios,lenseria para bebes ,pijamas maternas y para adultos .",NO,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Papa ventiada,Carrera 5 #11-38,3124038761,3157090055,Restaurante,No Responde,SI,marielaespitia6@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Papeleria & Miscelanea Koala,Autopista Medellin Km 1.5 Parque Agroindustrial de Occidente Modulo 2 Local 1321,3133295357,8773853,Otro,Papeleria Miscelanea,NO,paper.koala1321@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Papeleria J-C@ñon,Cra 5 # 14-20,3108024016,3108024016,Tienda,No Responde,NO,papeleria.jcanon@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Pardo’z parrilla,Calle 11 #8-75,3505905758,3125058500,Restaurante,No Responde,SI,Pardozparrillabar@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Parqueadero IV Centenario,Calle 11 # 6-18,3203370502,3132778215,Servicio de parqueadero,No Responde,NO,isabelconny09@hotmail.com,1 a 5,Sí,Sí,Propio,No responde,4,No,Acepto,No,Comerciante
Pecaditos al horno,"Carrera 5 # 7 - 80, local 138, centro comercial terracota",3003672352,3115000068,Restaurante,No Responde,SI,Pecaditosco@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Peluquería Elsa Mancera,Calle 13#3-30,3222196317,0,Otro,Peluquería,NO,Sita9514@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Peluquería Fashion,Carrera 6 # 14-22,3214640343,3106788130,"Peluquería, cuidados y belleza",No Responde,NO,agudeloagudeloangelamaria@gmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,4,No,Acepto,No,Emprendedor
Peluqueria Kairos,Cra 5 # 10 =78,3112141444,3112141444,Otro,Peluqueria,NO,Penafrancy9@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Peluquería y belleza Nancy Arias,Cra 5 # 7-80 local 105,3138988314,3043491569,Otro,Belleza y peluquería,NO,nancyarias2013@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
PERFECT NAILS SALON,Cra5 con Calle 13 segundo piso Loc. 206,3194699431,0,SALON DE UÑAS,No Responde,NO,blankitarodriguez7112@gmail.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,0,No,Acepto,No,Emprendedor
Perfumeria JDL,Tienda virtual,3132687008,0,Otro,Perfumeria,SI,Lesliejohanasuarez@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Periódico Adrenalina Chía,Chia,3102228868,0,"Producción de radio, prensa y medios digitales",No Responde,NO,fuerzacreativapublicitaria@gmail.com,1 a 5,Sí,Sí,Propio,No responde,11,Sí,Acepto,No,Comerciante
PET SHOP COTA,cra 5 #8-10 local 1,3224687496,0,Otro,VENTA ALIMENTO CONCENTRADO MASCOTAS,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Petorganic - Alimento natural para perros,Calle 11 # 1 - 60,3213725888,3043618041,Otro,Alimentación para mascotas,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
piccolos,cll 11 4 81,8640817,3108500352,expendio de comidas,No Responde,SI,piccolosasadero@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,5,Sí,Acepto,No,Comerciante
Piccolos Asadero y Restaurante,Calle 11#4-81 cota,3222377534,3107878314,Restaurante,No Responde,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Picnic Cocina Peruana,Km 2.5 vía siberia cota vereda vuelta Grande,3124968620,3013735591,Restaurante,No Responde,SI,Picniccocinaperuana@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,2,Sí,Acepto,No,Emprendedor
Pinturas aregon,"Calle 11 número 2b-20, local 2",8641976,0,Comercialización de materiales para la construcción,No Responde,SI,myrianarevalo@hotmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,5,Sí,Acepto,No,Comerciante
Piqueteadero Don Rafa,Calle 11 #5-52 centro,3118974961,3203755127,Restaurante,No Responde,NO,Sandrista87@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Piqueteadero el Tío Oswaldo,Cra 2da No 8-85,3197896375,3197889981,Restaurante,No Responde,NO,Vanessatauta032a@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
"Piqueteadero, parador, restaurante Las Conchitas",Km 5 Autopista Medellín. siberia,3105528324,3103340471,"Producción, distribución y comercialización de alimentos",No Responde,SI,cristian252003@hotmail.com,Por la coyuntura actual tenemos 6-10. Pero anteriormente eran 20,Sí,Sí,Propio,No responde,57,Sí,Acepto,No,Micro empresario
Pizza & love,Calle 13 # 2a 35,3013410458,3005518542,Gastronomía,No Responde,SI,Limaga88@hotmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,No,Acepto,No,Emprendedor
Pizza y Arepa,Cra. 3 No. 13a-84,8641724,3138911891,Restaurante,No Responde,SI,germangaona81@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Pizzel,Calle 11 # 1 - 00 Apto 202,3214371989,8787214,Preparación de deliciosas pizzas para refrigerar,No Responde,SI,luilui.charry@gmail.com,1 a 5,Sí,No,Arrendado,Entre 1.000.000 y 3.000.000,1,Sí,Acepto,No,Emprendedor
Pizzería Bon Apettit,Parcelas sector el resbalón,3132266037,3222166059,Restaurante,No Responde,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Pizzería Dakota,Carrera 5#13-33 centro,3102463974,0319865903,Restaurante,No Responde,SI,Dcavenda@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Pizzeria El Trébol Gourmet,Calle 14 # 8-72,8640130,3002674266,Pizzeria -Restaurante,No Responde,SI,Pizzeriatrebolgourmet@gmail.com,1 a 5,Sí,Sí,Propio,No responde,20,Sí,Acepto,No,Comerciante
Pizzettas,Cra 6 # 13 - 17,3208871063,3102507040,Administrador,No Responde,SI,contacto.pizzettas@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,2,Sí,Acepto,No,Comerciante
Play Park,Carrera 13 -A # 11-83,3174245227,3154682413,Otro,"Recreación, parque de juegos para niños",NO,Playparkcota@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Plot central papeleria,Calle 13 No 4 - 06,3184249599,3114957546,8219,No Responde,SI,Plot.central@gmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,6,No,Acepto,No,Comerciante
Postres de Mi Hija,Domicilio,3116869278,8641439,Elaboracion de postres y tortas,No Responde,SI,Valentinaferlop@gmail.com,1 a 5,No,No,Propio,No responde,1,No,Acepto,No,Emprendedor
Postres dulce sabor,Pueblo viejo,8640269,3125335267,Restaurante,No Responde,SI,catalinaarevalotallerista@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Prada security & comunicación sas,Cota,3115849745,0,Otro,Venta de sistemas de temas de seguridad y redes de cableado estruturado,SI,Prada.securitu@gmailcon,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Prana,Calle 13 A No. 4  /06,3158978666,3158978645,Tienda,No Responde,NO,Claudiadiazmar@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Prisma papeleria BH,Carrera 5  N° 13-18,3114990066,3125940954,Otro,Papeleria,NO,orlandobh16@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Productos de belleza Reflejo Infinito,Carrera 4 # 11-17 local 7,3155198668,3153527098,Otro,Productos de belleza,NO,Clemen0617@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Publicidad y Mercadeo Independiente,Independiente,3007552539,0,Otro,Publicidad y Mercadeo Independiente,SI,To-fpm@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
PUBLICITY DISEÑO Y CLASIFICADOS,CARRERA 6 No 11 - 11,8640421,3105596624,Otro,PUBLICIDAD,SI,publicityclasificados@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
PubliCota,Vereda Parcelas # 36 Casa 1,3165208900,0,Otro,Plataforma Tecnológica de commerce,NO,lilianitapardo@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Punto 13,Calle13 2b 27,3114983408,3106448021,Tienda,No Responde,NO,Cuentaplayincognita@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Puppin Mascotas,Cra 6#14-44 - Tienda virtual,3508969632,0,Otro,Accesorios para mascotas,SI,puppinmascotas@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Q Pelos un sitio para la belleza,Carrera 6 #11-15,3112416458,0,Servicios de belleza,No Responde,NO,Umasierra@gmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,14,No,Acepto,No,Micro empresario
